(0.933494133314798, 1.20727904871203)
(0.827281649259389, 1.09775055455841)
train, 531839, epinions
test, 132985
epochs, 100
gamma, 0.01
lambda, 0.01
decay, 0.98
mimimumRating, 1
maximumRating, 5
epoch,loss,test:mae,test:rmse
1,1316034.46708502,2.17292877423732,2.54401332593799
2,878275.910361145,1.83317831958201,2.23132609808089
3,699051.304620137,1.64490760846093,2.05354363868402
4,599483.750070371,1.52664669393632,1.9394989937829
5,536358.529287011,1.44561560856164,1.86020293246593
6,493051.479263456,1.386437938935,1.80195206062472
7,461745.916409957,1.34158156508241,1.7573239395452
8,438282.101198634,1.30641001388892,1.72222955338977
9,420243.82891961,1.27831565476977,1.69408646593163
10,406127.283547148,1.25556096394367,1.67117236740856
11,394938.11531283,1.23702672603297,1.65239148147738
12,385984.132610214,1.22183123992909,1.63689335645255
13,378765.045259943,1.20934928121428,1.62404509917907
14,372910.125223772,1.19904180575502,1.61337229020899
15,368139.661822577,1.1905610231816,1.60451146635412
16,364239.477402976,1.18357147551478,1.59713014173465
17,361043.463054173,1.17778799896375,1.59099257465126
18,358421.315834389,1.17299716066291,1.58589716098211
19,356269.755794218,1.16903829047567,1.58168219232167
20,354506.143186637,1.16577744637641,1.57820404360802
21,353063.790399576,1.16307638132767,1.57533903872414
22,351888.484095741,1.16084688106662,1.57298843959479
23,350935.875083969,1.15902908673099,1.57107617809485
24,350169.492894336,1.15755267577343,1.5695329006781
25,349559.213855035,1.1563516600596,1.5682990899645
26,349080.062796851,1.15538614925495,1.56732516573754
27,348711.26435484,1.15461092619409,1.5665700747528
28,348435.484396895,1.15400082070426,1.56600324840076
29,348238.2187785,1.15353475751502,1.56559242390734
30,348107.297949392,1.15318946753375,1.56531231698466
31,348032.483724666,1.15294101972107,1.56514281783638
32,348005.140000616,1.15277197589863,1.56507162554811
33,348017.963146245,1.15267795516209,1.56508321441361
epoch,loss,test:mae,test:rmse
1,160975.873214733,0.847047697524947,1.0985040778468
2,154511.737263464,0.828434477438578,1.0759796645356
3,151504.760601066,0.818673913394234,1.06524996625859
4,149784.837140233,0.812455738563184,1.05897379483751
5,148712.932022539,0.808076314784001,1.05495674850619
6,148026.878570515,0.80483254967608,1.0522778867089
7,147604.871567651,0.802338270744741,1.05049525844292
8,147390.090332602,0.800419079469461,1.04939110072372
9,147358.728765242,0.798981103989222,1.04886768298783
10,147501.132115669,0.797958177870474,1.0488782963924
epoch,loss,test:mae,test:rmse
1,196054.503462326,0.904055392669931,1.20991054368688
2,170989.412332829,0.866976475911489,1.1308261667696
3,163406.540055038,0.837321482996217,1.10530920454682
4,161111.507257066,0.828207352160099,1.09737811198717
5,160578.950832418,0.8250285468745,1.09540551298607
6,161080.262488541,0.824776296466459,1.09694871455222


Flixster

(0.685661960192361, 0.91840072410361)
(0.844066142680881, 1.070202101684)

train, 6557473
test, 1638604
epochs, 100
gamma, 0.005
lambda, 0.02
decay, 0.98
mimimumRating, 0.5
maximumRating, 5
epoch,loss,test:mae,test:rmse
1,9463987.48928382,1.10484969063437,1.4422729254439
2,2103984.60953827,0.798994791137792,1.0737353338418
3,1894656.92350876,0.762625475489202,1.02182342019359
4,1788629.23454701,0.740277257699666,0.992218170872546
5,1719936.90034613,0.72440267510961,0.972096365902626
6,1672326.83144552,0.713077776564967,0.957830007949948
7,1634639.44359945,0.703674611374779,0.9461799983132
8,1603583.8019645,0.695499220617298,0.936310740392504
9,1578602.85020505,0.688712314809767,0.928285770554185
10,1558551.77926746,0.683182873160894,0.921837085128205
11,1542281.22182315,0.678663388592053,0.916612565865344
12,1528908.77534339,0.674931192892025,0.912329990342746
13,1517760.13811844,0.671812045820439,0.908768862808838
14,1508327.91453081,0.669167086956027,0.905760941025146
15,1500242.67761253,0.666891834582395,0.903184462796359
16,1493236.21680769,0.664912207297915,0.900950517057659
17,1487106.79450112,0.663171861783005,0.8989940931119
18,1481696.39280041,0.661624876429441,0.897264851307837
19,1476878.67312158,0.660237714461679,0.895721912277688
20,1472552.59361805,0.658982330407341,0.89433288381245
21,1468638.20621793,0.657837527764312,0.893071745674843
22,1465073.14406107,0.65678473275362,0.891918688266214
23,1461809.31953202,0.655813225806754,0.890858886671299
24,1458809.76613274,0.65491381943053,0.889881921060738
25,1456045.7458413,0.654076858634083,0.888979188902988
26,1453494.2992226,0.653296925379145,0.888144004347964
27,1451136.36003312,0.652570470725314,0.887370824481759
28,1448955.4452655,0.651893235041006,0.886655121762471
29,1446936.83400881,0.651260889772543,0.885992336113484
30,1445067.10192294,0.650670430151292,0.885378350655488
31,1443333.88067608,0.650118916902716,0.884809158875404
32,1441725.74122261,0.649602940563562,0.884280965821531
33,1440232.13487009,0.649120474681645,0.883790429372548
34,1438843.35487699,0.648669335640915,0.883334342404041
35,1437550.50065044,0.648246163633115,0.882909919035123
36,1436345.43780662,0.647848374313394,0.882514454430936
37,1435220.75299443,0.647473846173376,0.882145417598634
38,1434169.70475466,0.647121845117193,0.881800706736899
39,1433186.17235987,0.646790066511078,0.88147827746713
40,1432264.60447373,0.646476298323934,0.881176347233206
41,1431399.96908595,0.646179622165016,0.880893240095369
42,1430587.70574343,0.645898656922683,0.880627490430718
43,1429823.6807291,0.64563240396269,0.880377689192786
44,1429104.14553338,0.645379787726869,0.880142561471557
45,1428425.69874817,0.645140206281543,0.879920988757212
46,1427785.25136151,0.644912648973206,0.87971191784233
47,1427179.995328,0.64469623926081,0.879514459484078
48,1426607.37523098,0.644490135337781,0.879327672024793
49,1426065.06281293,0.64429353134803,0.879150822015659
50,1425550.93414197,0.644105755575165,0.878983131121205
51,1425063.04917657,0.643926392133008,0.878824001601394
52,1424599.6334962,0.643754987054727,0.878672900540607
53,1424159.06198077,0.643591039359891,0.878529246065935
54,1423739.84423581,0.643433992079673,0.878392601227711
55,1423340.61157476,0.643283354805666,0.878262499344949
56,1422960.10539001,0.643138868713316,0.878138492848054
57,1422597.166757,0.643000286431985,0.878020232938099
58,1422250.72713815,0.642867257579928,0.877907373862438
59,1421919.80005598,0.642739369466713,0.877799560280073
60,1421603.47363547,0.642616283250447,0.877696508507841
61,1421300.90391087,0.642497810783568,0.877597957571475
62,1421011.30881437,0.642383651823205,0.877503658855645
63,1420733.96277118,0.642273652471551,0.877413357148459
64,1420468.191832,0.642167611395446,0.877326823235869
65,1420213.36928542,0.642065343392189,0.87724384096335
66,1419968.91169462,0.641966641489052,0.877164200755129
67,1419734.27531884,0.641871395725398,0.877087732416645
68,1419508.95286931,0.641779433805746,0.877014281979131
69,1419292.4705733,0.641690571368096,0.876943719003822
70,1419084.38550666,0.641604733309839,0.876875896727993
71,1418884.28317144,0.641521672608342,0.876810693828319
72,1418691.77529216,0.641441269327036,0.876747963195839
73,1418506.49780671,0.641363523030644,0.876687575546104
74,1418328.10903593,0.64128833418071,0.876629422652225
75,1418156.28801106,0.641215575850592,0.876573418928433
76,1417990.73294462,0.641145074988923,0.876519439708551
77,1417831.15983205,0.641076760626533,0.876467388104923
78,1417677.30116952,0.641010577373395,0.876417182401536
79,1417528.90477832,0.640946461059284,0.87636875796891
80,1417385.73272601,0.640884335452632,0.876322032758343
81,1417247.56033464,0.640824084718594,0.876276944495718
82,1417114.17526838,0.640765620506114,0.876233427714719
83,1416985.37669396,0.640708890026663,0.876191419957037
84,1416860.97450637,0.640653823427363,0.876150850207312
85,1416740.78861532,0.640600403481989,0.876111656162504
86,1416624.64828708,0.640548586282309,0.876073789549825
87,1416512.3915347,0.640498245809968,0.87603719980811
88,1416403.86455685,0.640449369113034,0.876001831914522
89,1416298.92121602,0.64040189638586,0.875967631422558
90,1416197.42255708,0.640355806080612,0.875934559809969
91,1416099.23636149,0.640311071990434,0.875902571407214
92,1416004.23673225,0.640267604686665,0.875871625273793
93,1415912.30371102,0.640225341650118,0.875841682410808
94,1415823.32292057,0.640184284826388,0.875812712050902
95,1415737.18523437,0.640144381188755,0.875784666088256
96,1415653.78646944,0.640105633826793,0.875757507369485
97,1415573.02709853,0.640067966275972,0.875731209504878
98,1415494.81198514,0.640031385245922,0.875705746949235
99,1415419.05013566,0.639995850029012,0.875681088236229
100,1415345.65446775,0.639961301723095,0.875657203150194
epoch,loss,test:mae,test:rmse
1,1427041.2601825,0.716184800210078,0.929168229074331
2,1381105.42480729,0.696695826897169,0.913835867665223
3,1358466.47349399,0.68817776028435,0.906061488753629
4,1338269.81887562,0.680991244133667,0.898838420442583
5,1320706.4456257,0.67473659171002,0.892368243166719
6,1304950.35519112,0.669153310120288,0.886390858914616
7,1289766.65427519,0.66375346903887,0.880444674875194
8,1276286.56394686,0.658820746528804,0.875033245626695
9,1265226.13821706,0.654640334988882,0.870525400840414
10,1255791.57999301,0.651013604123895,0.866635296299088
11,1247395.74094922,0.647736551495352,0.863122115171444
12,1240021.96942228,0.644796865322243,0.859985245947642
13,1233761.02228697,0.642239662205961,0.857279495262099
14,1228522.32974869,0.640048652724867,0.854981692664107
15,1224103.75542208,0.638157691371822,0.853013521625107
16,1220311.24373321,0.636498380924395,0.851297383741299
17,1216999.7459596,0.635021290840284,0.849775341875065
18,1214070.8685707,0.633689158171692,0.848409025358901
19,1211460.48061808,0.632478403692609,0.847175440534458
20,1209127.04843038,0.631375331279854,0.84606034543721
21,1207042.34234037,0.630371281548854,0.845054220697252
22,1205184.56072784,0.629459195280599,0.844149514497096
23,1203534.07512829,0.628632587043571,0.843339081488157
24,1202071.60480685,0.627884502229706,0.842615179935446
25,1200778.0105597,0.627208228875142,0.841970367519526
26,1199634.7703552,0.626598514921916,0.841396405727214
27,1198624.51738645,0.626048562904089,0.840885204812256
28,1197731.39414351,0.625551317438487,0.840429420800991
29,1196941.19810834,0.625099882842138,0.840022567208239
30,1196241.37416042,0.624690053287055,0.839658715646259
31,1195620.91597694,0.624317588638183,0.839332768911467
32,1195070.22316562,0.623977726856327,0.839040307948067
33,1194580.94382538,0.623667625407804,0.838777210890817
34,1194145.81946635,0.62338419652463,0.838540201171882
35,1193758.54094704,0.623124359759347,0.838326372852124
36,1193413.61912603,0.622885528295964,0.83813313854947
37,1193106.27112255,0.62266566178086,0.837958384168808
38,1192832.32161281,0.622462940698316,0.837800083057704
39,1192588.11788606,0.622275796491618,0.837656400913404
40,1192370.45712383,0.622102941087078,0.837525876764938
41,1192176.52433175,0.621942581908025,0.837407165056628
42,1192003.83944753,0.62179393829119,0.837299127049952
43,1191850.21228308,0.621655869629358,0.837200677030472
44,1191713.70412481,0.62152738227345,0.837110874108493
45,1191592.59496727,0.621407706641022,0.837028941066255
46,1191485.35550753,0.621295921188708,0.836953985641951
47,1191390.62316092,0.621191505369118,0.836885351206478
48,1191307.18146581,0.621093697503669,0.836822563753439
49,1191233.94235802,0.621002076575613,0.836765159189417
50,1191169.93087183,0.620916212075713,0.836712653640458
51,1191114.27189758,0.620835516070201,0.836664610945696
52,1191066.17868901,0.6207598412945,0.836620651692978
53,1191024.94286162,0.620688681897603,0.836580303576934
54,1190989.9256657,0.620621576107455,0.836543390850071
55,1190960.55035023,0.620558257308946,0.836509614691184
56,1190936.2954686,0.620498490091256,0.836478743098816
57,1190916.68899176,0.620442110192328,0.836450517287445
58,1190901.3031226,0.620388825244602,0.836424734901354
59,1190889.74971842,0.620338326967092,0.836401104661836
60,1190881.67624037,0.620290527647398,0.836379518162907
61,1190876.76216381,0.620245399333105,0.836359825041823
62,1190874.71579081,0.620202618721695,0.836341877852741
63,1190875.2714144,0.62016205996459,0.836325544663914
epoch,loss,test:mae,test:rmse
1,1676972.36259779,0.728008095129179,0.994995810842862
2,1417503.03083189,0.690097464284415,0.921407673304331
3,1306181.10205252,0.668320093621183,0.885771283434495
4,1266377.4319864,0.657450739695267,0.871914619829076
5,1246819.28534322,0.65047829377384,0.864685265436255
6,1234740.22519943,0.645783518414401,0.859985155456067
7,1226277.22474761,0.642267846715993,0.856551680481588
8,1220966.37992297,0.639824424874959,0.85434378716008
9,1217758.3827059,0.637901478867672,0.852904278915956
10,1216610.86429371,0.636578068596562,0.852255950133668
11,1217012.00807057,0.63561195327185,0.852191094847937

Douban
(0.679746792652941, 0.84483932185848)
(0.625716728082997, 0.780953637487622)
train, 13464257
test, 3366582
epochs, 100
gamma, 0.005
lambda, 0.02
decay, 0.98
mimimumRating, 1
maximumRating, 5
epoch,loss,test:mae,test:rmse
1,7291586.07410435,0.834572847305161,1.1058526043
2,3044472.40317279,0.666515697670424,0.881137650185497
3,2678220.81841148,0.636383233120377,0.829446151561466
4,2525704.73883441,0.623542405155137,0.806508846877272
5,2437298.2868899,0.615530350321037,0.792757917414054
6,2378339.16658586,0.609829011432581,0.78335630994131
7,2335158.92930447,0.60540318209749,0.776305306023408
8,2300922.45901333,0.601669309873886,0.770556267765396
9,2272036.43105783,0.598310922724036,0.765552160355247
10,2246944.35587059,0.595233610495911,0.761083226141082
11,2225202.59468329,0.592466566952932,0.757136002371726
12,2206584.68407204,0.590049579886939,0.75371828784325
13,2190703.2850267,0.587963357423792,0.75078315747835
14,2177072.29130417,0.586154860502734,0.748248946482737
15,2165231.28058902,0.584567544940656,0.746031584180407
16,2154798.18691204,0.58314944371019,0.744059745691369
17,2145473.81894572,0.581860805175375,0.742277258391146
18,2137030.89616452,0.580669362784722,0.740641419414469
19,2129301.15727923,0.579554072404607,0.739121279494716
20,2122163.58304705,0.578498949290977,0.737696160531083
21,2115533.5896006,0.577494671927057,0.736352439430953
22,2109352.95005587,0.57653765054625,0.735081892636115
23,2103580.84790249,0.575625651629523,0.733879788291894
24,2098186.74767005,0.574757333373966,0.732743239560894
25,2093145.46436925,0.573932197238186,0.731670159845798
26,2088434.27324695,0.573149270736295,0.730658254387238
27,2084031.53209866,0.572407916108166,0.72970495311782
28,2079916.22076965,0.571707046023501,0.728807511957988
29,2076067.93227501,0.571045517151347,0.727962773939848
30,2072467.02829199,0.570421327733043,0.727167689954292
31,2069094.81373985,0.569832556931356,0.726419206646404
32,2065933.67202458,0.569277129930531,0.725714189889492
33,2062967.14659343,0.568752628975552,0.725049493391855
34,2060179.9730809,0.568257383621205,0.724422381575418
35,2057558.07227064,0.567788886281443,0.723830266868802
36,2055088.51461004,0.567345403894611,0.723270622427296
37,2052759.4655389,0.566925504105417,0.722741084113305
38,2050560.11899988,0.566527222427148,0.722239519991561
39,2048480.62470723,0.56614912492987,0.721763983437436
40,2046512.0132308,0.565789529440996,0.721312652509814
41,2044646.12176425,0.5654476887955,0.720883922312844
42,2042875.52250935,0.565122190175712,0.720476253609815
43,2041193.45490063,0.564812069657059,0.720088168044597
44,2039593.76238289,0.564516341068634,0.719718438007244
45,2038070.83407662,0.564234009581452,0.719365872601228
46,2036619.55140055,0.563964179376383,0.719029404221709
47,2035235.23954437,0.563706407612878,0.718708044281676
48,2033913.62357201,0.563459944452307,0.71840084356689
49,2032650.78885812,0.563223910464481,0.718106931555913
50,2031443.14553717,0.562997941478332,0.717825540495011
51,2030287.39661667,0.56278117500994,0.717555984468815
52,2029180.50941902,0.562573259834075,0.71729757481534
53,2028119.69003264,0.56237366605229,0.717049706051687
54,2027102.36045168,0.562181752147619,0.716811805909655
55,2026126.13813721,0.561997217070382,0.716583336341404
56,2025188.81772878,0.561819458160609,0.716363775082898
57,2024288.35467861,0.561648313099723,0.716152677642034
58,2023422.85058974,0.561483546035581,0.715949638594399
59,2022590.54007878,0.561324849018811,0.715754267130028
60,2021789.77898214,0.56117188830226,0.715566186178012
61,2021019.03377102,0.561024404106036,0.715385025679312
62,2020276.87202469,0.560882043176724,0.715210479061132
63,2019561.95386061,0.560744587765512,0.715042246592907
64,2018873.02420684,0.560611707099679,0.714880043533865
65,2018208.90582985,0.560483462022544,0.714723579759728
66,2017568.49303614,0.560359540176432,0.714572595363577
67,2016950.74597146,0.560239707548785,0.714426853557628
68,2016354.68546001,0.560123785340799,0.714286147910736
69,2015779.38832592,0.560011688278576,0.714150263171838
70,2015223.98314353,0.559903229049063,0.71401899625444
71,2014687.64637483,0.559798253894709,0.713892149406667
72,2014169.59885906,0.559696632821087,0.713769546246405
73,2013669.10260964,0.559598280972204,0.713651018834941
74,2013185.45789685,0.55950305638279,0.713536403936568
75,2012718.00058452,0.559410764509736,0.713425549430474
76,2012266.09969227,0.559321294752037,0.71331829890983
77,2011829.15517169,0.559234504711297,0.713214527165744
78,2011406.59586412,0.559150311052809,0.713114091593936
79,2010997.87763042,0.559068650553277,0.713016877160407
80,2010602.48163332,0.558989402125055,0.712922748164219
81,2010219.91276371,0.558912522014249,0.712831595379593
82,2009849.69818356,0.558837973855827,0.712743321768162
83,2009491.38599534,0.558765582062318,0.71265782064304
84,2009144.54400558,0.558695258661326,0.71257499043524
85,2008808.75859167,0.558626971517964,0.712494727819955
86,2008483.63364658,0.558560607913484,0.712416944772108
87,2008168.78961016,0.558496090872056,0.712341547752475
88,2007863.86256603,0.55843340067337,0.712268459934235
89,2007568.50340766,0.558372459768033,0.712197603319284
90,2007282.37706132,0.558313250522013,0.712128895844662
91,2007005.16176672,0.55825572357199,0.712062260467162
92,2006736.5484015,0.558199808480503,0.711997621881695
93,2006476.23986007,0.558145436552249,0.711934918472793
94,2006223.95046561,0.558092510190287,0.711874084803836
95,2005979.40542636,0.558041029308529,0.711815050558556
96,2005742.34032298,0.557990897463528,0.711757751703103
97,2005512.50063104,0.557942059793383,0.711702132563197
98,2005289.64127282,0.557894474280404,0.71164814016339
99,2005073.52619315,0.557848091863275,0.711595723203903
100,2004863.92796668,0.557802915747748,0.711544826176677
epoch,loss,test:mae,test:rmse
1,1882617.63047492,0.593662130961406,0.743516527525088
2,1833013.77077598,0.584000922735118,0.733564938294263
3,1812928.45110102,0.579852991105996,0.729502671074453
4,1800945.32735783,0.577290559879572,0.727043440230052
5,1792361.32947404,0.575409025956567,0.725241125438348
6,1785558.68949202,0.573897574488919,0.723775648616403
7,1779819.37987497,0.57261492001293,0.722508215318896
8,1774745.70414636,0.571481193761215,0.721361336644507
9,1770079.15542822,0.570444035922628,0.720283287717003
10,1765645.61317916,0.569465141628933,0.719237793724933
11,1761347.2500243,0.568521313506404,0.718204358005394
12,1757164.45069354,0.567603336042163,0.717180428398214
13,1753139.15945177,0.566714000891146,0.716178328676764
14,1749333.18147775,0.565862993475238,0.715215164746365
15,1745786.81964599,0.56505683761853,0.714303214848845
16,1742504.97193317,0.564297807783222,0.713445390624627
17,1739468.97315146,0.563582733206461,0.712638458590603
18,1736654.43210589,0.562906289814687,0.711877663932865
19,1734041.6686265,0.562265618649432,0.711159169568732
20,1731617.5919503,0.561659590541672,0.710481020902652
21,1729373.34776182,0.561086668207745,0.709842323671857
22,1727301.54471814,0.560545663000461,0.709242530460939
23,1725394.58485743,0.560037187367046,0.708680857551521
24,1723644.06754871,0.559559515785763,0.708156213571167
25,1722040.7963114,0.559111634896609,0.707667111689256
26,1720575.02818772,0.558692371308353,0.707211883709167
27,1719236.7837233,0.558300159867273,0.706788560829406
28,1718016.13682586,0.557933834601916,0.706395158284953
29,1716903.44892778,0.557591029680692,0.706029710790719
30,1715889.53576386,0.557270221825351,0.705690200568062
31,1714965.77035324,0.556969708032008,0.705374736878355
32,1714124.13408931,0.556688327269862,0.705081501257677
33,1713357.23021272,0.556424547700373,0.704808822399632
34,1712658.27252694,0.55617730744258,0.704555080372228
35,1712021.05923655,0.555945336082664,0.704318828462187
36,1711439.93874834,0.55572750903371,0.704098744029395
37,1710909.77181552,0.555522647439603,0.703893549647205
38,1710425.89267346,0.555329747881046,0.703702102647779
39,1709984.07072144,0.555148082656325,0.70352335196215
40,1709580.47361313,0.55497701119924,0.703356302487345
41,1709211.63224295,0.554815603612315,0.703200084911795
42,1708874.40787298,0.554663110594619,0.703053882379642
43,1708565.96151965,0.554518890720046,0.70291693622741
44,1708283.7256275,0.5543824662496,0.702788550023528
45,1708025.37800268,0.554253309501773,0.702668113234668
46,1707788.81794933,0.55413079872901,0.702555027922789
47,1707572.14449891,0.554014568265621,0.702448760939581
48,1707373.63663797,0.553904232186496,0.702348823237166
49,1707191.73539513,0.553799366382606,0.702254729055038
50,1707025.02765974,0.55369948689636,0.702166089363301
51,1706872.23160047,0.553604365261944,0.702082526535141
52,1706732.18354489,0.553513766214272,0.702003680894326
53,1706603.82619213,0.553427343926674,0.70192923601832
54,1706486.19803794,0.553344899738709,0.701858897507727
55,1706378.4238925,0.553266079141145,0.701792381407496
56,1706279.70638,0.553190778662099,0.701729437258931
57,1706189.3183298,0.553118825034623,0.70166983272938
58,1706106.59595599,0.553049976001326,0.70161335001944
59,1706030.93274877,0.552984050784606,0.701559794889425
60,1705961.77400295,0.552920872389214,0.701508980882692
61,1705898.61190951,0.552860189853507,0.701460722090031
62,1705840.98115769,0.552801876835114,0.701414855948407
63,1705788.454987,0.55274587057684,0.701371252681558
64,1705740.64163979,0.55269205611384,0.70132977270773
65,1705697.18117658,0.552640270817025,0.701290287534094
66,1705657.74261038,0.552590413197942,0.701252679867112
67,1705622.02132658,0.552542409761605,0.701216840255594
68,1705589.73675823,0.552496163355086,0.701182662487724
69,1705560.63029097,0.552451574648836,0.701150047263746
70,1705534.46336827,0.552408602249502,0.701118919129865
71,1705511.01578405,0.552367115797056,0.701089194711716
72,1705490.08413147,0.552327026945178,0.701060791393096
73,1705471.48040505,0.552288324940342,0.701033640779465
74,1705455.0307288,0.552250868556963,0.701007669466181
75,1705440.57420252,0.552214582840774,0.700982818327012
76,1705427.96185574,0.552179433761246,0.700959032867568
77,1705417.05569326,0.552145404779407,0.700936255689605
78,1705407.72782834,0.552112460957217,0.700914433109215
79,1705399.85969145,0.552080583970382,0.700893504566609
80,1705393.34130744,0.552049710433261,0.700873431450158
81,1705388.07063754,0.552019774360714,0.700854170286894
82,1705383.95297447,0.551990746011764,0.700835677455439
83,1705380.90039076,0.551962559757839,0.700817911243624
84,1705378.83123138,0.551935181532536,0.700800842884421
85,1705377.66965033,0.551908564963734,0.700784432130398
86,1705377.34518214,0.551882703843471,0.700768642026324
87,1705377.79234925,0.551857591322974,0.700753454281771
epoch,loss,test:mae,test:rmse
1,1891584.31565906,0.591055586402369,0.744409958928534
2,1796484.43267768,0.576273265114685,0.725537956629039
3,1766350.96867377,0.570641017696541,0.719240656964196
4,1748976.84271007,0.567184915075441,0.715508227108037
5,1736566.67640941,0.564670373599184,0.712788186014901
6,1726950.33477903,0.562701926304595,0.7106403695569
7,1719203.81077875,0.561095703930805,0.70887882108678
8,1712823.59815226,0.559750006258389,0.707402118715687
9,1707490.31340443,0.558600569761133,0.706145794696259
10,1702989.9982374,0.557603132116725,0.705066928701441
11,1699172.83134951,0.556731909553159,0.704135704172965
12,1695927.44019759,0.555966153538821,0.703329942920817
13,1693166.28452688,0.555291134071933,0.702632002704276
14,1690817.9965731,0.554694952220696,0.702027232398582
15,1688823.3118053,0.554166733816315,0.701503227620299
16,1687132.62343085,0.553698031854902,0.701049422801107
17,1685704.25794916,0.553280654406208,0.700656808434502
18,1684503.12104598,0.55290844067146,0.700317699048641
19,1683499.58696537,0.552575633629813,0.700025532142932
20,1682668.57887028,0.552277579578909,0.699774694247088
21,1681988.80833397,0.55201046129501,0.699560372590349
22,1681442.14788075,0.551770575069875,0.699378430089176
23,1681013.11367687,0.551555297419903,0.699225300668134
24,1680688.43875353,0.551361752968755,0.699097901820359
25,1680456.72042535,0.551187467653879,0.698993561576864
26,1680308.12850229,0.551030597223642,0.698909957445426
27,1680234.16335249,0.550889134579225,0.698845065274567
28,1680227.45483414,0.55076117806007,0.698797116337851
29,1680281.59471905,0.550645766554895,0.698764561220963
